Start_date,Crab,Fertilization_date,age,Batch,Tray Number,Well,Cue,settled_10hrs,unattached_10hrs,settled_20hrs,unattached_20hrs,settled_30hrs,unattached_30hrs 
3/7/2022,G2,2/7/2022,28,2,15,e,Sterilized shell + conspecific cue,3,3,3,3,3,3
3/7/2022,G2,2/7/2022,28,2,15,f,Sterilized shell,0,6,0,6,0,6
3/7/2022,G2,2/7/2022,28,2,16,a,Sterilized shell + predator cue,1,4,1,4,1,4
3/7/2022,G2,2/7/2022,28,2,16,b,Sterilized shell + conspecific cue,2,4,3,3,3,3
3/7/2022,G2,2/7/2022,28,2,16,c,Sterilized shell + conspecific cue + predator cue,0,6,3,3,3,3
3/7/2022,G2,2/7/2022,28,2,16,d,Conspecific shell + conspecific cue,4,2,5,1,5,1
3/7/2022,G2,2/7/2022,28,2,16,e,Conspecific shell,5,1,5,1,5,1
3/7/2022,G2,2/7/2022,28,2,16,f,Sterilized shell,1,5,1,5,1,5
3/7/2022,G2,2/7/2022,28,2,17,a,Conspecific shell,3,3,3,3,3,3
3/7/2022,G2,2/7/2022,28,2,17,b,Conspecific shell + conspecific cue,6,0,6,0,6,0
3/7/2022,G2,2/7/2022,28,2,17,c,Sterilized shell,0,5,0,5,0,5
3/7/2022,G2,2/7/2022,28,2,17,d,Sterilized shell + conspecific cue,6,0,6,0,6,0
3/7/2022,G2,2/7/2022,28,2,17,e,Sterilized shell + predator cue,0,6,1,5,1,5
3/7/2022,G2,2/7/2022,28,2,17,f,Sterilized shell + conspecific cue + predator cue,0,6,0,6,0,6
3/7/2022,G2,2/7/2022,28,2,18,a,Conspecific shell + conspecific cue,3,3,3,3,3,3
3/7/2022,G2,2/7/2022,28,2,18,b,Sterilized shell + conspecific cue,1,5,2,4,2,4
3/7/2022,G2,2/7/2022,28,2,18,c,Sterilized shell + conspecific cue + predator cue,1,5,2,4,2,4
3/7/2022,G2,2/7/2022,28,2,18,d,Conspecific shell,4,2,6,0,6,0
3/7/2022,G2,2/7/2022,28,2,18,e,Sterilized shell,0,6,0,6,0,6
3/7/2022,G2,2/7/2022,28,2,18,f,Sterilized shell + predator cue,0,6,1,4,2,4
3/7/2022,G2,2/7/2022,28,2,19,a,Sterilized shell + predator cue,0,6,1,4,1,5
3/7/2022,G2,2/7/2022,28,2,19,b,Conspecific shell,4,2,5,1,5,1
3/7/2022,G2,2/7/2022,28,2,19,c,Conspecific shell + conspecific cue,5,1,5,1,6,0
3/7/2022,G2,2/7/2022,28,2,19,d,Sterilized shell,0,6,0,6,0,6
3/7/2022,G2,2/7/2022,28,2,19,e,Sterilized shell + conspecific cue + predator cue,2,4,2,4,2,4
3/7/2022,G2,2/7/2022,28,2,19,f,Sterilized shell + conspecific cue,2,4,2,4,2,4
3/7/2022,G2,2/7/2022,28,2,20,a,Conspecific shell,3,3,5,1,5,1
3/7/2022,G2,2/7/2022,28,2,20,b,Sterilized shell,0,5,0,5,0,5
3/7/2022,G2,2/7/2022,28,2,20,c,Sterilized shell + conspecific cue,2,3,2,3,3,2
3/7/2022,G2,2/7/2022,28,2,20,d,Conspecific shell + conspecific cue,5,1,5,1,5,1
3/7/2022,G2,2/7/2022,28,2,20,e,Sterilized shell + conspecific cue + predator cue,0,6,1,4,1,5
3/7/2022,G2,2/7/2022,28,2,20,f,Sterilized shell + predator cue,2,4,2,4,2,4
3/9/2022,R1,2/7/2022,30,2,21,a,Conspecific shell,4,1,4,1,5,0
3/9/2022,R1,2/7/2022,30,2,21,b,Conspecific shell + conspecific cue,3,3,5,2,5,2
3/9/2022,R1,2/7/2022,30,2,21,c,Sterilized shell,0,6,1,5,1,5
3/9/2022,R1,2/7/2022,30,2,21,d,Sterilized shell + predator cue,0,6,0,6,0,6
3/9/2022,R1,2/7/2022,30,2,21,e,Sterilized shell + conspecific cue,5,1,5,1,5,1
3/9/2022,R1,2/7/2022,30,2,21,f,Sterilized shell + conspecific cue + predator cue,1,5,2,4,2,4
3/9/2022,R1,2/7/2022,30,2,22,a,Conspecific shell + conspecific cue,5,0,5,0,5,0
3/9/2022,R1,2/7/2022,30,2,22,b,Sterilized shell + conspecific cue,0,6,0,6,0,6
3/9/2022,R1,2/7/2022,30,2,22,c,Sterilized shell + conspecific cue + predator cue,0,6,0,6,0,5
3/9/2022,R1,2/7/2022,30,2,22,d,Conspecific shell,1,5,5,1,5,1
3/9/2022,R1,2/7/2022,30,2,22,e,Sterilized shell,0,5,0,5,1,4
3/9/2022,R1,2/7/2022,30,2,22,f,Sterilized shell + predator cue,1,5,2,4,2,4
3/9/2022,R1,2/7/2022,30,2,23,a,Sterilized shell + predator cue,2,4,2,4,2,4
3/9/2022,R1,2/7/2022,30,2,23,b,Conspecific shell,2,4,2,4,3,3
3/9/2022,R1,2/7/2022,30,2,23,c,Conspecific shell + conspecific cue,3,3,5,1,5,1
3/9/2022,R1,2/7/2022,30,2,23,d,Sterilized shell,0,6,0,6,1,5
3/9/2022,R1,2/7/2022,30,2,23,e,Sterilized shell + conspecific cue + predator cue,0,6,1,5,1,5
3/9/2022,R1,2/7/2022,30,2,23,f,Sterilized shell + conspecific cue,0,6,0,6,0,6
3/9/2022,R1,2/7/2022,30,2,24,a,Conspecific shell,3,3,5,1,5,1
3/9/2022,R1,2/7/2022,30,2,24,b,Sterilized shell,0,6,0,6,0,6
3/9/2022,R1,2/7/2022,30,2,24,c,Sterilized shell + conspecific cue,0,6,1,5,1,5
3/9/2022,R1,2/7/2022,30,2,24,d,Conspecific shell + conspecific cue,1,5,1,5,6,0
3/9/2022,R1,2/7/2022,30,2,24,e,Sterilized shell + conspecific cue + predator cue,2,3,2,3,2,3
3/9/2022,R1,2/7/2022,30,2,24,f,Sterilized shell + predator cue,0,6,1,5,1,5
3/9/2022,R1,2/7/2022,30,2,25,a,Conspecific shell + conspecific cue,4,2,5,1,5,1
3/9/2022,R1,2/7/2022,30,2,25,b,Sterilized shell + predator cue,1,5,1,5,0,6
3/9/2022,R1,2/7/2022,30,2,25,c,Sterilized shell + conspecific cue + predator cue,0,6,0,6,0,6
3/9/2022,R1,2/7/2022,30,2,25,d,Conspecific shell,3,3,3,1,3,1
3/9/2022,R1,2/7/2022,30,2,25,e,Sterilized shell + conspecific cue,0,6,1,5,1,5
3/9/2022,R1,2/7/2022,30,2,25,f,Sterilized shell,0,6,0,6,0,6
3/9/2022,R1,2/7/2022,30,2,26,a,Sterilized shell + predator cue,1,5,1,5,2,4
3/9/2022,R1,2/7/2022,30,2,26,b,Sterilized shell + conspecific cue,0,6,1,4,1,4
3/9/2022,R1,2/7/2022,30,2,26,c,Sterilized shell + conspecific cue + predator cue,1,5,1,5,2,4
3/9/2022,R1,2/7/2022,30,2,26,d,Conspecific shell + conspecific cue,4,2,4,3,6,1
3/9/2022,R1,2/7/2022,30,2,26,e,Conspecific shell,3,3,5,1,5,1
3/9/2022,R1,2/7/2022,30,2,26,f,Sterilized shell,0,6,0,6,0,6
3/9/2022,R1,2/7/2022,30,2,27,a,Conspecific shell,3,3,5,1,5,1
3/9/2022,R1,2/7/2022,30,2,27,b,Conspecific shell + conspecific cue,0,6,4,2,5,0
3/9/2022,R1,2/7/2022,30,2,27,c,Sterilized shell,0,6,0,5,0,5
3/9/2022,R1,2/7/2022,30,2,27,d,Sterilized shell + conspecific cue,2,4,2,4,2,4
3/9/2022,R1,2/7/2022,30,2,27,e,Sterilized shell + predator cue,0,5,0,5,1,4
3/9/2022,R1,2/7/2022,30,2,27,f,Sterilized shell + conspecific cue + predator cue,2,4,2,4,3,3
3/9/2022,R1,2/7/2022,30,2,28,a,Conspecific shell + conspecific cue,6,0,6,0,6,0
3/9/2022,R1,2/7/2022,30,2,28,b,Sterilized shell + conspecific cue,0,6,1,5,1,5
3/9/2022,R1,2/7/2022,30,2,28,c,Sterilized shell + conspecific cue + predator cue,0,5,0,5,2,3
3/9/2022,R1,2/7/2022,30,2,28,d,Conspecific shell,0,6,2,4,5,1
3/9/2022,R1,2/7/2022,30,2,28,e,Sterilized shell,0,6,0,5,0,5
3/9/2022,R1,2/7/2022,30,2,28,f,Sterilized shell + predator cue,0,6,0,6,0,6
3/9/2022,R1,2/7/2022,30,2,29,a,Sterilized shell + predator cue,1,5,1,5,1,5
3/9/2022,R1,2/7/2022,30,2,29,b,Conspecific shell,4,2,4,2,5,1
3/9/2022,R1,2/7/2022,30,2,29,c,Conspecific shell + conspecific cue,5,1,5,1,5,1
3/9/2022,R1,2/7/2022,30,2,29,d,Sterilized shell,0,6,1,5,1,5
3/9/2022,R1,2/7/2022,30,2,29,e,Sterilized shell + conspecific cue + predator cue,1,5,3,3,2,4
3/9/2022,R1,2/7/2022,30,2,29,f,Sterilized shell + conspecific cue,0,6,0,6,0,6
3/9/2022,R1,2/7/2022,30,2,30,a,Conspecific shell,4,2,4,2,5,1
3/9/2022,R1,2/7/2022,30,2,30,b,Sterilized shell,1,5,2,4,1,5
3/9/2022,R1,2/7/2022,30,2,30,c,Sterilized shell + conspecific cue,0,6,2,4,2,4
3/9/2022,R1,2/7/2022,30,2,30,d,Conspecific shell + conspecific cue,4,1,4,1,5,0
3/9/2022,R1,2/7/2022,30,2,30,e,Sterilized shell + conspecific cue + predator cue,2,4,1,5,2,4
3/9/2022,R1,2/7/2022,30,2,30,f,Sterilized shell + predator cue,1,5,2,4,2,4
3/9/2022,R1,2/7/2022,30,2,31,a,conspecific shell + predator cue,5,1,5,1,4,1
3/9/2022,R1,2/7/2022,30,2,31,b,conspecific shell + predator cue,3,2,3,2,5,0
3/9/2022,R1,2/7/2022,30,2,31,c,conspecific shell + predator cue,3,3,3,3,4,2
3/9/2022,R1,2/7/2022,30,2,31,d,conspecific shell + predator cue,2,3,2,3,3,2
3/9/2022,R1,2/7/2022,30,2,31,e,conspecific shell + predator cue,4,2,4,2,5,1
3/9/2022,R1,2/7/2022,30,2,31,f,conspecific shell + predator cue,2,4,2,4,3,3
3/9/2022,R1,2/7/2022,30,2,32,a,conspecific shell + predator cue,2,4,3,3,4,2
3/9/2022,R1,2/7/2022,30,2,32,b,conspecific shell + predator cue,3,3,4,2,4,2
3/9/2022,R1,2/7/2022,30,2,32,c,conspecific shell + predator cue,3,3,3,2,4,1
3/9/2022,R1,2/7/2022,30,2,32,d,conspecific shell + predator cue,5,1,5,1,5,1
3/9/2022,R1,2/7/2022,30,2,32,e,conspecific shell + predator cue,3,4,3,4,4,3
3/9/2022,R1,2/7/2022,30,2,32,f,conspecific shell + predator cue,3,2,3,2,4,1
